onset	duration	nwb_table	PBups_hit_history	PBups_violation_history	SidesSection_previous_sounds	SidesSection_previous_samples	SidesSection_previous_memory_gaps	SidesSection_previous_rt_task	SidesSection_previous_stims	PBupsSection_LocalPrevSides	PBupsSection_LocalPrevSounds	state_type
1103.16352	33.68949999999995	trials	1.0	0.0	1.0	2.0	-1.7799999999999727	0.0	0.0	r	1.0	
1103.16352	33.68949999999995	states										"   state_name
id           
0     state_0"
1103.16352	0.016007999999828826	states										"          state_name
id                  
1   sending_trialnum"
1103.179528	0.009492000000136613	states										"           state_name
id                   
3   clean_sound_state"
1103.18902	0.001015999999935957	states										"   state_name
id           
4         iti"
1103.190036	28.64798399999995	states										"         state_name
id                 
6   wait_for_cpoke1"
1131.83802	0.0015000000000782165	states										"             state_name
id                     
8   play_stimulus_sound"
1131.83952	0.22000000000002728	states										"   state_name
id           
9      cpoke1"
1132.05952	0.010516000000052372	states										"           state_name
id                   
13  center_2_side_gap"
1132.070036	0.7794839999999112	states										"        state_name
id                
17  wait_for_spoke"
1132.84952	0.0005000000001018634	states										"      state_name
id              
23  right_reward"
1132.85002	2.0005069999999705	states										"   state_name
id           
24  hit_state"
1134.850527	1.0009929999998803	states										"          state_name
id                  
29  soft_drink_state"
1135.85152	1.0005160000000615	states										"   state_name
id           
26    warning"
1136.852036	0.0009840000000167493	states										"        state_name
id                
30  clean_up_state"
1136.85352	10.935003000000052	trials	1.0	0.0	-1.0	2.0	-1.7785160000000815	0.0	0.0	l	-1.0	
1136.85352	10.935003000000052	states										"   state_name
id           
0     state_0"
1136.85352	0.016000000000076398	states										"          state_name
id                  
1   sending_trialnum"
1136.86952	0.009500000000116415	states										"           state_name
id                   
3   clean_sound_state"
1136.87902	0.0015079999998306448	states										"   state_name
id           
4         iti"
1136.880528	6.2659940000000915	states										"         state_name
id                 
6   wait_for_cpoke1"
1143.146522	0.00151400000004287	states										"             state_name
id                     
8   play_stimulus_sound"
1143.148036	0.22148399999991852	states										"   state_name
id           
9      cpoke1"
1143.36952	0.010516000000052372	states										"           state_name
id                   
13  center_2_side_gap"
1143.380036	0.3845049999999901	states										"        state_name
id                
17  wait_for_spoke"
1143.764541	0.00047900000004119647	states										"     state_name
id             
22  left_reward"
1143.76502	2.0004999999998745	states										"   state_name
id           
24  hit_state"
1145.76552	1.0210070000000542	states										"          state_name
id                  
29  soft_drink_state"
1146.786527	1.0009930000001077	states										"   state_name
id           
26    warning"
1147.78752	0.001002999999855092	states										"        state_name
id                
30  clean_up_state"
1147.78902	6.9250160000001415	trials	1.0	0.0	1.0	2.0	-1.777512999999999	0.0	0.0	r	1.0	
1147.78902	6.9250160000001415	states										"   state_name
id           
0     state_0"
1147.78902	0.016000000000076398	states										"          state_name
id                  
1   sending_trialnum"
1147.80502	0.009508000000096217	states										"           state_name
id                   
3   clean_sound_state"
1147.814528	0.0015079999998306448	states										"   state_name
id           
4         iti"
1147.816036	2.0024869999999737	states										"         state_name
id                 
6   wait_for_cpoke1"
1149.818523	0.0015130000001590815	states										"             state_name
id                     
8   play_stimulus_sound"
1149.820036	0.222487000000001	states										"   state_name
id           
9      cpoke1"
1150.042523	0.010996999999861146	states										"           state_name
id                   
13  center_2_side_gap"
1150.05352	0.6570180000001073	states										"        state_name
id                
17  wait_for_spoke"
1150.710538	0.00048199999991993536	states										"      state_name
id              
23  right_reward"
1150.71102	2.000500000000102	states										"   state_name
id           
24  hit_state"
1152.71152	1.00100899999984	states										"          state_name
id                  
29  soft_drink_state"
1153.712529	1.000491000000011	states										"   state_name
id           
26    warning"
1154.71302	0.0010160000001633307	states										"        state_name
id                
30  clean_up_state"
1154.714542	5.759987000000137	trials	1.0	1.0	-1.0			0.0	0.0	l	-1.0	
1154.714542	5.759987000000137	states										"   state_name
id           
0     state_0"
1154.714542	0.015998000000081447	states										"          state_name
id                  
1   sending_trialnum"
1154.73054	0.0094850000000406	states										"           state_name
id                   
3   clean_sound_state"
1154.740025	0.0014949999999771535	states										"   state_name
id           
4         iti"
1154.74152	0.20450000000005275	states										"         state_name
id                 
6   wait_for_cpoke1"
1154.94602	0.0014999999998508429	states										"             state_name
id                     
8   play_stimulus_sound"
1154.94752	0.2195000000001528	states										"   state_name
id           
9      cpoke1"
1155.16702	0.20100600000000668	states										"        state_name
id                
12  temp_violation"
1155.368026	0.2989939999999933	states										"         state_name
id                 
6   wait_for_cpoke1"
1155.66702	0.0015149999999266583	states										"             state_name
id                     
8   play_stimulus_sound"
1155.668535	0.223500999999942	states										"   state_name
id           
9      cpoke1"
1155.892036	0.010984000000007654	states										"           state_name
id                   
13  center_2_side_gap"
1155.90302	0.5685000000000855	states										"        state_name
id                
17  wait_for_spoke"
1156.47152	0.0004999999998744897	states										"     state_name
id             
22  left_reward"
1156.47202	2.0000159999999596	states										"   state_name
id           
24  hit_state"
1158.472036	1.0009890000001178	states										"          state_name
id                  
29  soft_drink_state"
1159.473025	1.0005040000000918	states										"   state_name
id           
26    warning"
1160.473529	0.0009999999999763531	states										"        state_name
id                
30  clean_up_state"
1160.47502	20.159512999999833	trials	1.0	0.0	-1.0	2.0	-1.776986000000079	0.0	0.0	l	-1.0	
1160.47502	20.159512999999833	states										"   state_name
id           
0     state_0"
1160.47502	0.015999999999849024	states										"          state_name
id                  
1   sending_trialnum"
1160.49102	0.009510000000091168	states										"           state_name
id                   
3   clean_sound_state"
1160.50053	0.0014899999998760904	states										"   state_name
id           
4         iti"
1160.50202	16.008015999999998	states										"         state_name
id                 
6   wait_for_cpoke1"
1176.510036	0.0014840000001186127	states										"             state_name
id                     
8   play_stimulus_sound"
1176.51152	0.223013999999921	states										"   state_name
id           
9      cpoke1"
1176.734534	0.010986000000002605	states										"           state_name
id                   
13  center_2_side_gap"
1176.74552	0.44251600000006874	states										"        state_name
id                
17  wait_for_spoke"
1177.188036	0.0004969999999957508	states										"     state_name
id             
22  left_reward"
1177.188533	2.000487000000021	states										"   state_name
id           
24  hit_state"
1179.18902	0.44350699999995413	states										"          state_name
id                  
29  soft_drink_state"
1179.632527	1.0009930000001077	states										"   state_name
id           
26    warning"
1180.63352	0.0010129999998298445	states										"        state_name
id                
30  clean_up_state"
1180.63502	5.486516000000165	trials	0.0	0.0	-1.0	2.0	-1.7755079999999452	0.0	0.0	l	-1.0	
1180.63502	5.486516000000165	states										"   state_name
id           
0     state_0"
1180.63502	0.016000000000076398	states										"          state_name
id                  
1   sending_trialnum"
1180.65102	0.009506999999985055	states										"           state_name
id                   
3   clean_sound_state"
1180.660527	0.001492999999982203	states										"   state_name
id           
4         iti"
1180.66202	1.7230110000000423	states										"         state_name
id                 
6   wait_for_cpoke1"
1182.385031	0.001496999999972104	states										"             state_name
id                     
8   play_stimulus_sound"
1182.386528	0.22449200000005476	states										"   state_name
id           
9      cpoke1"
1182.61102	0.010499999999865395	states										"           state_name
id                   
13  center_2_side_gap"
1182.62152	0.49651600000015605	states										"        state_name
id                
17  wait_for_spoke"
1183.118036	0.001483999999891239	states										"      state_name
id              
18  error_state1"
1183.11952	3.001013000000057	states										"     state_name
id             
19  error_state"
1186.120533	0.0010030000000824657	states										"        state_name
id                
30  clean_up_state"
1186.122036	4.963983999999982	trials	1.0	0.0	-1.0	2.0	-1.774994000000106	0.0	0.0	l	-1.0	
1186.122036	4.963983999999982	states										"   state_name
id           
0     state_0"
1186.122036	0.015984000000116794	states										"          state_name
id                  
1   sending_trialnum"
1186.13802	0.009499999999889042	states										"           state_name
id                   
3   clean_sound_state"
1186.14752	0.0010019999999713036	states										"   state_name
id           
4         iti"
1186.148522	0.13949800000000323	states										"         state_name
id                 
6   wait_for_cpoke1"
1186.28802	0.0015160000000378204	states										"             state_name
id                     
8   play_stimulus_sound"
1186.289536	0.2250059999998939	states										"   state_name
id           
9      cpoke1"
1186.514542	0.010492999999996755	states										"           state_name
id                   
13  center_2_side_gap"
1186.525035	0.5575020000001132	states										"        state_name
id                
17  wait_for_spoke"
1187.082537	0.00048300000003109744	states										"     state_name
id             
22  left_reward"
1187.08302	2.0004999999998745	states										"   state_name
id           
24  hit_state"
1189.08352	1.0005160000000615	states										"          state_name
id                  
29  soft_drink_state"
1190.084036	1.0009840000000167	states										"   state_name
id           
26    warning"
1191.08502	0.0009999999999763531	states										"        state_name
id                
30  clean_up_state"
1191.086527	4.59349300000008	trials	0.0	1.0	-1.0			0.0	0.0	l	-1.0	
1191.086527	4.59349300000008	states										"   state_name
id           
0     state_0"
