onset	duration	nwb_table	ProAnti3_hit_history	ProAnti3_sides_history	ProAnti3_psych_history	ProAnti3_loc_history	ProAnti3_mem_history	ProAnti3_free_history	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
932.126828	114.10849999999994	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
932.126828	114.10849999999994	states												"   state_name
id           
0     state_0"
932.126828	0.01599999999996271	states												"          state_name
id                  
1   sending_trialnum"
932.142828	101.82250999999997	states												"      state_name
id              
3   wait_for_cin"
1033.965338	0.0004950000000008004	states												"   state_name
id           
4     nicstim"
1033.965833	0.001488999999992302	states												"   state_name
id           
6       csgap"
1033.967322	7.204500000000053	states												"        state_name
id                
13  wait_for_spoke"
1041.171822	0.0004999999998744897	states												"             state_name
id                     
15  soff_reward_chooser"
1041.172322	0.06200000000012551	states												"         state_name
id                 
16  reward_big_soff"
1041.234322	2.0	states												"         state_name
id                 
23  post_reward_off"
1043.234322	0.0005129999999553547	states												"    state_name
id            
25  warndanger"
1043.234835	3.000493000000006	states												"            state_name
id                    
26  warndanger_warning"
1046.235838	21.733983999999964	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1046.235838	21.733983999999964	states												"   state_name
id           
0     state_0"
1046.235838	0.01598999999987427	states												"          state_name
id                  
1   sending_trialnum"
1046.251828	7.925994000000173	states												"      state_name
id              
3   wait_for_cin"
1054.177822	0.0004999999998744897	states												"   state_name
id           
4     nicstim"
1054.178322	0.0010059999999612046	states												"   state_name
id           
6       csgap"
1054.179328	0.6595010000000912	states												"        state_name
id                
13  wait_for_spoke"
1054.838829	0.0004930000000058499	states												"             state_name
id                     
15  soff_reward_chooser"
1054.839322	0.06199999999989814	states												"         state_name
id                 
16  reward_big_soff"
1054.901322	1.6100000000001273	states												"         state_name
id                 
23  post_reward_off"
1056.511322	8.457999999999856	states												"         state_name
id                 
24  soft_drink_time"
1064.969322	0.0005000000001018634	states												"    state_name
id            
25  warndanger"
1064.969822	3.0	states												"            state_name
id                    
26  warndanger_warning"
1067.970323	7.389498999999887	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1067.970323	7.389498999999887	states												"   state_name
id           
0     state_0"
1067.970323	0.015998999999965235	states												"          state_name
id                  
1   sending_trialnum"
1067.986322	0.8605019999999968	states												"      state_name
id              
3   wait_for_cin"
1068.846824	0.0004980000001069129	states												"   state_name
id           
4     nicstim"
1068.847322	0.0010059999999612046	states												"   state_name
id           
6       csgap"
1068.848328	1.447494000000006	states												"        state_name
id                
13  wait_for_spoke"
1070.295822	0.0004999999998744897	states												"             state_name
id                     
15  soff_reward_chooser"
1070.296322	0.062016000000085114	states												"         state_name
id                 
16  reward_big_soff"
1070.358338	2.000493000000006	states												"         state_name
id                 
23  post_reward_off"
1072.358831	0.0004910000000108994	states												"    state_name
id            
25  warndanger"
1072.359322	3.0004999999998745	states												"            state_name
id                    
26  warndanger_warning"
1075.360322	14.428505000000087	trials	0.0	r	2.0	p	1.0	r	0.0	0.0	0.0	r	p	
1075.360322	14.428505000000087	states												"   state_name
id           
0     state_0"
1075.360322	0.01600600000006125	states												"          state_name
id                  
1   sending_trialnum"
1075.376328	2.6895099999999275	states												"      state_name
id              
3   wait_for_cin"
1078.065838	0.0005000000001018634	states												"   state_name
id           
4     nicstim"
1078.066338	0.001483999999891239	states												"   state_name
id           
6       csgap"
1078.067822	0.33349999999995816	states												"        state_name
id                
13  wait_for_spoke"
1078.401322	0.002008000000159882	states												"   state_name
id           
29  temperror"
1078.40333	1.807992000000013	states												"   state_name
id           
11    stim_on"
1080.211322	0.0004999999998744897	states												"            state_name
id                    
14  son_reward_chooser"
1080.211822	0.06200000000012551	states												"        state_name
id                
17  reward_big_son"
1080.273822	0.0004999999998744897	states												"        state_name
id                
22  post_reward_on"
1080.274322	0.6985150000000431	states												"         state_name
id                 
23  post_reward_off"
1080.972837	5.815485000000081	states												"         state_name
id                 
24  soft_drink_time"
1086.788322	0.0005049999999755528	states												"    state_name
id            
25  warndanger"
1086.788827	3.0	states												"            state_name
id                    
26  warndanger_warning"
1089.789322	13.082999999999856	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1089.789322	13.082999999999856	states												"   state_name
id           
0     state_0"
1089.789322	0.015999999999849024	states												"          state_name
id                  
1   sending_trialnum"
1089.805322	3.19399999999996	states												"      state_name
id              
3   wait_for_cin"
1092.999322	0.0005000000001018634	states												"   state_name
id           
4     nicstim"
1092.999822	0.0010099999999511056	states												"   state_name
id           
6       csgap"
1093.000832	2.240002000000004	states												"        state_name
id                
13  wait_for_spoke"
1095.240834	0.000494000000117012	states												"             state_name
id                     
15  soff_reward_chooser"
1095.241328	0.06199500000002445	states												"         state_name
id                 
16  reward_big_soff"
1095.303323	0.5024989999999434	states												"         state_name
id                 
23  post_reward_off"
1095.805822	4.065499999999929	states												"         state_name
id                 
24  soft_drink_time"
1099.871322	0.0005009999999856518	states												"    state_name
id            
25  warndanger"
1099.871823	3.0004989999999907	states												"            state_name
id                    
26  warndanger_warning"
1102.872828	13.14699399999995	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1102.872828	13.14699399999995	states												"   state_name
id           
0     state_0"
1102.872828	0.015998000000081447	states												"          state_name
id                  
1   sending_trialnum"
1102.888826	1.340012999999999	states												"      state_name
id              
3   wait_for_cin"
1104.228839	0.00048299999980372377	states												"   state_name
id           
4     nicstim"
1104.229322	0.001510000000052969	states												"   state_name
id           
6       csgap"
1104.230832	3.2759980000000724	states												"        state_name
id                
13  wait_for_spoke"
1107.50683	0.0004930000000058499	states												"             state_name
id                     
15  soff_reward_chooser"
1107.507323	0.06199900000001435	states												"         state_name
id                 
16  reward_big_soff"
1107.569322	0.4900159999999687	states												"         state_name
id                 
23  post_reward_off"
1108.059338	4.959491000000071	states												"         state_name
id                 
24  soft_drink_time"
1113.018829	0.0004930000000058499	states												"    state_name
id            
25  warndanger"
1113.019322	3.0004999999998745	states												"            state_name
id                    
26  warndanger_warning"
1116.020322	13.800506999999925	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1116.020322	13.800506999999925	states												"   state_name
id           
0     state_0"
1116.020322	0.016015999999808628	states												"          state_name
id                  
1   sending_trialnum"
1116.036338	3.4304890000000796	states												"      state_name
id              
3   wait_for_cin"
1119.466827	0.0004950000000008004	states												"   state_name
id           
4     nicstim"
1119.467322	0.0015089999999418069	states												"   state_name
id           
6       csgap"
1119.468831	0.669997000000194	states												"        state_name
id                
13  wait_for_spoke"
1120.138828	0.0004939999998896383	states												"             state_name
id                     
15  soff_reward_chooser"
1120.139322	0.0620010000000093	states												"         state_name
id                 
16  reward_big_soff"
1120.201323	0.41249900000002526	states												"         state_name
id                 
23  post_reward_off"
1120.613822	6.205999999999904	states												"         state_name
id                 
24  soft_drink_time"
1126.819822	0.0005060000000867149	states												"    state_name
id            
25  warndanger"
