onset	duration	nwb_table	ProAnti3Marino_hit_history	ProAnti3Marino_sides_history	ProAnti3Marino_psych_history	ProAnti3Marino_loc_history	ProAnti3Marino_mem_history	ProAnti3Marino_free_history	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
51.141212	355.1	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
51.141212	355.1	states												"   state_name
id           
0     state_0"
51.141212	0.015999999999998238	states												"          state_name
id                  
1   sending_trialnum"
51.157212	347.989	states												"      state_name
id              
3   wait_for_cin"
399.146212	1.0	states												"   state_name
id           
4     context"
400.146212	0.0010000000000331966	states												"   state_name
id           
6       csgap"
400.147212	0.09199999999998454	states												"   state_name
id           
11    stim_on"
400.239212	0.000505999999973028	states												"            state_name
id                    
14  son_reward_chooser"
400.239718	0.06400000000002137	states												"        state_name
id                
17  reward_big_son"
400.303718	0.936493999999982	states												"        state_name
id                
22  post_reward_on"
401.240212	2.0	states												"         state_name
id                 
23  post_reward_off"
403.240212	0.0005229999999869506	states												"    state_name
id            
25  warndanger"
403.240735	3.0004770000000462	states												"            state_name
id                    
26  warndanger_warning"
406.241718	63.16050799999999	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
406.241718	63.16050799999999	states												"   state_name
id           
0     state_0"
406.241718	0.01599900000002208	states												"          state_name
id                  
1   sending_trialnum"
406.257717	55.29899999999998	states												"      state_name
id              
3   wait_for_cin"
461.556717	1.0000009999999975	states												"   state_name
id           
4     context"
462.556718	0.0014940000000365217	states												"   state_name
id           
6       csgap"
462.558212	0.1209999999999809	states												"   state_name
id           
11    stim_on"
462.679212	0.0005110000000172477	states												"            state_name
id                    
14  son_reward_chooser"
462.679723	0.06399799999996958	states												"        state_name
id                
17  reward_big_son"
462.743721	0.9364909999999895	states												"        state_name
id                
22  post_reward_on"
463.680212	0.05750000000000455	states												"         state_name
id                 
23  post_reward_off"
463.737712	2.663499999999999	states												"         state_name
id                 
24  soft_drink_time"
466.401212	0.0005080000000248219	states												"    state_name
id            
25  warndanger"
466.40172	3.000505999999973	states												"            state_name
id                    
26  warndanger_warning"
469.402718	12.15500400000002	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
469.402718	12.15500400000002	states												"   state_name
id           
0     state_0"
469.402718	0.016000000000019554	states												"          state_name
id                  
1   sending_trialnum"
469.418718	3.800005999999996	states												"      state_name
id              
3   wait_for_cin"
473.218724	1.0004880000000185	states												"   state_name
id           
4     context"
474.219212	0.0010019999999713036	states												"   state_name
id           
6       csgap"
474.220214	0.08899800000000369	states												"   state_name
id           
11    stim_on"
474.309212	0.0005049999999755528	states												"            state_name
id                    
14  son_reward_chooser"
474.309717	0.06400000000002137	states												"        state_name
id                
17  reward_big_son"
474.373717	0.9364949999999794	states												"        state_name
id                
22  post_reward_on"
475.310212	0.09450000000003911	states												"         state_name
id                 
23  post_reward_off"
475.404712	3.152499999999975	states												"         state_name
id                 
24  soft_drink_time"
478.557212	0.0005019999999831271	states												"    state_name
id            
25  warndanger"
478.557714	3.0000080000000366	states												"            state_name
id                    
26  warndanger_warning"
481.558213	11.686003999999969	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
481.558213	11.686003999999969	states												"   state_name
id           
0     state_0"
481.558213	0.015998999999965235	states												"          state_name
id                  
1   sending_trialnum"
481.574212	3.708517000000029	states												"      state_name
id              
3   wait_for_cin"
485.282729	1.0004829999999743	states												"   state_name
id           
4     context"
486.283212	0.0015060000000062246	states												"   state_name
id           
6       csgap"
486.284718	0.10049400000002606	states												"   state_name
id           
11    stim_on"
486.385212	0.0005109999999604042	states												"            state_name
id                    
14  son_reward_chooser"
486.385723	0.06400100000001885	states												"        state_name
id                
17  reward_big_son"
486.449724	0.9364889999999946	states												"        state_name
id                
22  post_reward_on"
487.386213	0.00599899999997433	states												"         state_name
id                 
23  post_reward_off"
487.392212	2.851517000000001	states												"         state_name
id                 
24  soft_drink_time"
490.243729	0.00048300000003109744	states												"    state_name
id            
25  warndanger"
490.244212	3.0000049999999874	states												"            state_name
id                    
26  warndanger_warning"
493.244718	14.188494000000048	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
493.244718	14.188494000000048	states												"   state_name
id           
0     state_0"
493.244718	0.016000000000019554	states												"          state_name
id                  
1   sending_trialnum"
493.260718	6.900493999999981	states												"      state_name
id              
3   wait_for_cin"
500.161212	1.0005060000000299	states												"   state_name
id           
4     context"
501.161718	0.0010019999999713036	states												"   state_name
id           
6       csgap"
501.16272	0.0699989999999957	states												"   state_name
id           
11    stim_on"
501.232719	0.0004930000000058499	states												"            state_name
id                    
14  son_reward_chooser"
501.233212	0.06400000000002137	states												"        state_name
id                
17  reward_big_son"
501.297212	0.9365060000000085	states												"        state_name
id                
22  post_reward_on"
502.233718	0.024494000000004235	states												"         state_name
id                 
23  post_reward_off"
