onset	duration	nwb_table	ProAnti3Marino_hit_history	ProAnti3Marino_sides_history	ProAnti3Marino_psych_history	ProAnti3Marino_loc_history	ProAnti3Marino_mem_history	ProAnti3Marino_free_history	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
1216.002039	167.05549100000007	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1216.002039	167.05549100000007	states												"   state_name
id           
0     state_0"
1216.002039	0.016002000000071348	states												"          state_name
id                  
1   sending_trialnum"
1216.018041	54.72598900000003	states												"      state_name
id              
3   wait_for_cin"
1270.74403	1.0004999999998745	states												"   state_name
id           
4     context"
1271.74453	0.0015029999999569554	states												"   state_name
id           
6       csgap"
1271.746033	1.0005020000000968	states												"   state_name
id           
11    stim_on"
1272.746535	0.0014949999999771535	states												"   state_name
id           
12   stim_off"
1272.74803	103.33050000000003	states												"        state_name
id                
13  wait_for_spoke"
1376.07853	0.0005000000001018634	states												"             state_name
id                     
15  soff_reward_chooser"
1376.07903	0.04299999999989268	states												"         state_name
id                 
16  reward_big_soff"
1376.12203	0.0010090000000673172	states												"         state_name
id                 
23  post_reward_off"
1376.123039	3.9334910000000036	states												"         state_name
id                 
24  soft_drink_time"
1380.05653	0.0005039999998643907	states												"    state_name
id            
25  warndanger"
1380.057034	3.000496000000112	states												"            state_name
id                    
26  warndanger_warning"
1383.05803	109.14250600000014	trials	0.0	l	1.0	p	1.0	r	0.0	0.0	0.0	l	p	
1383.05803	109.14250600000014	states												"   state_name
id           
0     state_0"
1383.05803	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
1383.07403	103.085507	states												"      state_name
id              
3   wait_for_cin"
1486.159537	1.0004930000000058	states												"   state_name
id           
4     context"
1487.16003	0.0010059999999612046	states												"   state_name
id           
6       csgap"
1487.161036	0.038494000000127926	states												"   state_name
id           
11    stim_on"
1487.19953	5.001005999999961	states												"     state_name
id             
28  error_state"
1492.201037	60.313007999999854	trials	0.0	r	2.0	p	1.0	r	0.0	0.0	0.0	r	p	
1492.201037	60.313007999999854	states												"   state_name
id           
0     state_0"
1492.201037	0.015999999999849024	states												"          state_name
id                  
1   sending_trialnum"
1492.217037	27.6359930000001	states												"      state_name
id              
3   wait_for_cin"
1519.85303	1.0005000000001019	states												"   state_name
id           
4     context"
1520.85353	0.001015999999935957	states												"   state_name
id           
6       csgap"
1520.854546	1.0004950000000008	states												"   state_name
id           
11    stim_on"
1521.855041	0.001488999999992302	states												"   state_name
id           
12   stim_off"
1521.85653	25.656500999999935	states												"        state_name
id                
13  wait_for_spoke"
1547.513031	5.001013999999941	states												"     state_name
id             
28  error_state"
