onset	duration	nwb_table	ProAnti3Marino_hit_history	ProAnti3Marino_psych_history	ProAnti3Marino_mem_history	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
1968.437573	109.56149500000015	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
1968.437573	109.56149500000015	states									"   state_name
id           
0     state_0"
1968.437573	0.016000999999960186	states									"          state_name
id                  
1   sending_trialnum"
1968.453574	103.14600900000028	states									"      state_name
id              
3   wait_for_cin"
2071.599583	1.000485000000026	states									"   state_name
id           
4     context"
2072.600068	0.0009999999997489795	states									"   state_name
id           
6       csgap"
2072.601068	0.39700900000025285	states									"   state_name
id           
11    stim_on"
2072.998077	5.000990999999885	states									"     state_name
id             
28  error_state"
2077.999577	12.523490999999922	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
2077.999577	12.523490999999922	states									"   state_name
id           
0     state_0"
2077.999577	0.015997999999854073	states									"          state_name
id                  
1   sending_trialnum"
2078.015575	4.507493000000068	states									"      state_name
id              
3   wait_for_cin"
2082.523068	1.0	states									"   state_name
id           
4     context"
2083.523068	0.001002999999855092	states									"   state_name
id           
6       csgap"
2083.524071	1.0000030000001061	states									"   state_name
id           
11    stim_on"
2084.524074	0.0015050000001792796	states									"   state_name
id           
12   stim_off"
2084.525579	0.9964890000001105	states									"        state_name
id                
13  wait_for_spoke"
2085.522068	5.000999999999749	states									"     state_name
id             
28  error_state"
2090.523579	116.98448899999994	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
2090.523579	116.98448899999994	states									"   state_name
id           
0     state_0"
2090.523579	0.01599499999974796	states									"          state_name
id                  
1   sending_trialnum"
2090.539574	110.69099400000005	states									"      state_name
id              
3   wait_for_cin"
2201.230568	1.0005000000001019	states									"   state_name
id           
4     context"
2202.231068	0.0014999999998508429	states									"   state_name
id           
6       csgap"
2202.232568	0.2744999999999891	states									"   state_name
id           
11    stim_on"
2202.507068	5.001000000000204	states									"     state_name
id             
28  error_state"
2207.508568	37.240499999999884	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
2207.508568	37.240499999999884	states									"   state_name
id           
0     state_0"
2207.508568	0.01599999999962165	states									"          state_name
id                  
1   sending_trialnum"
2207.524568	19.812000000000353	states									"      state_name
id              
3   wait_for_cin"
2227.336568	1.0004999999996471	states									"   state_name
id           
4     context"
2228.337068	0.0015000000003055902	states									"   state_name
id           
6       csgap"
2228.338568	1.0000049999998737	states									"   state_name
id           
11    stim_on"
2229.338573	0.0010090000000673172	states									"   state_name
id           
12   stim_off"
2229.339582	10.408485999999812	states									"        state_name
id                
13  wait_for_spoke"
2239.748068	5.001000000000204	states									"     state_name
id             
28  error_state"
2244.749581	26.91600500000004	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
2244.749581	26.91600500000004	states									"   state_name
id           
0     state_0"
2244.749581	0.01600700000017241	states									"          state_name
id                  
1   sending_trialnum"
2244.765588	20.81048699999974	states									"      state_name
id              
3   wait_for_cin"
2265.576075	1.0004930000000058	states									"   state_name
id           
4     context"
2266.576568	0.0010059999999612046	states									"   state_name
id           
6       csgap"
2266.577574	0.08699400000023161	states									"   state_name
id           
11    stim_on"
2266.664568	5.001017999999931	states									"     state_name
id             
28  error_state"
2271.666068	46.115999999999985	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
2271.666068	46.115999999999985	states									"   state_name
id           
0     state_0"
2271.666068	0.016000000000076398	states									"          state_name
id                  
1   sending_trialnum"
2271.682068	1.20049999999992	states									"      state_name
id              
3   wait_for_cin"
2272.882568	1.0005000000001019	states									"   state_name
id           
4     context"
2273.883068	0.0009999999997489795	states									"   state_name
id           
6       csgap"
2273.884068	1.0005000000001019	states									"   state_name
id           
11    stim_on"
2274.884568	0.001010999999834894	states									"   state_name
id           
12   stim_off"
2274.885579	37.895489	states									"        state_name
id                
13  wait_for_spoke"
2312.781068	5.001000000000204	states									"     state_name
id             
28  error_state"
2317.782568	116.5510089999998	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
2317.782568	116.5510089999998	states									"   state_name
id           
0     state_0"
2317.782568	0.016000000000076398	states									"          state_name
id                  
1   sending_trialnum"
2317.798568	110.27100799999971	states									"      state_name
id              
3   wait_for_cin"
2428.069576	1.0000010000003385	states									"   state_name
id           
4     context"
2429.069577	0.0014909999999872525	states									"   state_name
id           
6       csgap"
2429.071068	0.2614999999996144	states									"   state_name
id           
11    stim_on"
2429.332568	5.001009000000067	states									"     state_name
id             
28  error_state"
